MSG:1005,0,1,"MakeMKV v1.17.6 win(x86-release) started","%1 started","MakeMKV v1.17.6 win(x86-release)"
MSG:1004,131072,1,"Debug logging enabled, log will be saved as file://C:\\Users\\lufoust/MakeMKV_log_1.txt","Debug logging enabled, log will be saved as %1","file://C:\\Users\\lufoust/MakeMKV_log_1.txt"
MSG:1011,0,1,"You are running a 32-bit (x86) version of a program. Eventually this will be deprecated in upcoming versions, please upgrade to a processor manufactured during last 10 years...","%1","You are running a 32-bit (x86) version of a program. Eventually this will be deprecated in upcoming versions, please upgrade to a processor manufactured during last 10 years..."
MSG:5075,131072,2,"The new version 1.17.8 is available for download at http://www.makemkv.com/download/","The new version %1 is available for download at %2","1.17.8","http://www.makemkv.com/download/"
MSG:3307,0,2,"File 01245.mpls was added as title #52","File %1 was added as title #%2","01245.mpls","52"
MSG:3307,0,2,"File 01246.mpls was added as title #53","File %1 was added as title #%2","01246.mpls","53"
MSG:3307,0,2,"File 01247.mpls was added as title #54","File %1 was added as title #%2","01247.mpls","54"
MSG:3307,0,2,"File 01248.mpls was added as title #55","File %1 was added as title #%2","01248.mpls","55"
MSG:3307,0,2,"File 01249.mpls was added as title #56","File %1 was added as title #%2","01249.mpls","56"
MSG:3307,0,2,"File 01250.mpls was added as title #57","File %1 was added as title #%2","01250.mpls","57"
MSG:3307,0,2,"File 01251.mpls was added as title #58","File %1 was added as title #%2","01251.mpls","58"
MSG:3307,0,2,"File 01252.mpls was added as title #59","File %1 was added as title #%2","01252.mpls","59"
MSG:3307,0,2,"File 01253.mpls was added as title #60","File %1 was added as title #%2","01253.mpls","60"
MSG:3307,0,2,"File 01254.mpls was added as title #61","File %1 was added as title #%2","01254.mpls","61"
MSG:3307,0,2,"File 01255.mpls was added as title #62","File %1 was added as title #%2","01255.mpls","62"
MSG:3307,0,2,"File 01256.mpls was added as title #63","File %1 was added as title #%2","01256.mpls","63"
MSG:3307,0,2,"File 01257.mpls was added as title #64","File %1 was added as title #%2","01257.mpls","64"
MSG:3307,0,2,"File 01258.mpls was added as title #65","File %1 was added as title #%2","01258.mpls","65"
MSG:3307,0,2,"File 01259.mpls was added as title #66","File %1 was added as title #%2","01259.mpls","66"
MSG:3307,0,2,"File 01260.mpls was added as title #67","File %1 was added as title #%2","01260.mpls","67"
MSG:3307,0,2,"File 01261.mpls was added as title #68","File %1 was added as title #%2","01261.mpls","68"
MSG:3307,0,2,"File 01262.mpls was added as title #69","File %1 was added as title #%2","01262.mpls","69"
MSG:3307,0,2,"File 01263.mpls was added as title #70","File %1 was added as title #%2","01263.mpls","70"
MSG:3307,0,2,"File 00110.mpls was added as title #71","File %1 was added as title #%2","00110.mpls","71"
MSG:3307,0,2,"File 00111.mpls was added as title #72","File %1 was added as title #%2","00111.mpls","72"
MSG:3307,0,2,"File 00112.mpls was added as title #73","File %1 was added as title #%2","00112.mpls","73"
MSG:3307,0,2,"File 00113.mpls was added as title #74","File %1 was added as title #%2","00113.mpls","74"
MSG:3307,0,2,"File 00114.mpls was added as title #75","File %1 was added as title #%2","00114.mpls","75"
MSG:3307,0,2,"File 00118.mpls was added as title #76","File %1 was added as title #%2","00118.mpls","76"
MSG:3307,0,2,"File 00119.mpls was added as title #77","File %1 was added as title #%2","00119.mpls","77"
MSG:3307,0,2,"File 00145.mpls was added as title #78","File %1 was added as title #%2","00145.mpls","78"
MSG:3307,0,2,"File 00121.mpls was added as title #79","File %1 was added as title #%2","00121.mpls","79"
MSG:3307,0,2,"File 00122.mpls was added as title #80","File %1 was added as title #%2","00122.mpls","80"
MSG:3307,0,2,"File 00123.mpls was added as title #81","File %1 was added as title #%2","00123.mpls","81"
